"creative","racelab","rep","dem","third","repinc","deminc","thirdinc","win","thirdpty","inc","won"
"HOUSE/AK01 YOUNG GROWN WITH ALASKA","hou2012","Young, Don","Cissna, Sharon M.","McDermott, Jim C.",1,0,0,"R",NA,1,1
"HOUSE/AL02 FORD TIME AND AGAIN","hou2012","Roby, Martha","Ford, Therese","",1,0,0,"R",NA,0,0
"HOUSE/AL02 ROBY THESE ARE OUR CHILDREN","hou2012","Roby, Martha","Ford, Therese","",1,0,0,"R",NA,1,1
"HOUSE/AL04 ADERHOLT TROUBLE ABROAD TROUBLE AT HOME","hou2012","Aderholt, Robert","Boman, Daniel H.","",1,0,0,"R",NA,1,1
"HOUSE/AL06 BAILEY RUNNING AS A PROUD AMERICAN","hou2012","Bachus, Spencer","Bailey, Penny","",1,0,0,"R",NA,0,0
"HOUSE/AL06 BAILEY RUNNING AS A PROUD AMERICAN 10","hou2012","Bachus, Spencer","Bailey, Penny","",1,0,0,"R",NA,0,0
"HOUSE/AR01 CRAWFORD IT CAME FROM WASHINGTON","hou2012","Crawford, Rick","Ellington, Scott","Paxton, Jessica",1,0,0,"R",NA,1,1
"HOUSE/AR01 CRAWFORD TICKING TIME BOMB","hou2012","Crawford, Rick","Ellington, Scott","Paxton, Jessica",1,0,0,"R",NA,1,1
"HOUSE/AR02 GRIFFIN KEYSTONE XL PIPELINE","hou2012","Griffin, Tim","Rule, Herb","Ward, Barbara",1,0,0,"R",NA,1,1
"HOUSE/AR04 COTTON FIGHT THROUGH THE FIRE 15","hou2012","Cotton, Tom","Jeffress, Gene","Tullis, Bobby",0,0,0,"R",NA,0,1
"HOUSE/AR04 COTTON WE ALL TOOK AN OATH","hou2012","Cotton, Tom","Jeffress, Gene","Tullis, Bobby",0,0,0,"R",NA,0,1
"HOUSE/AZ01 KIRKPATRICK COWBOYS","hou2012","Paton, Jonathan","Kirkpatrick, Ann","Allen, Kim",0,0,0,"D",NA,0,1
"HOUSE/AZ01 KIRKPATRICK DRIVEN","hou2012","Paton, Jonathan","Kirkpatrick, Ann","Allen, Kim",0,0,0,"D",NA,0,1
"HOUSE/AZ01 KIRKPATRICK REFUNDED","hou2012","Paton, Jonathan","Kirkpatrick, Ann","Allen, Kim",0,0,0,"D",NA,0,1
"HOUSE/AZ01 KIRKPATRICK RIGHT WAY","hou2012","Paton, Jonathan","Kirkpatrick, Ann","Allen, Kim",0,0,0,"D",NA,0,1
"HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE","hou2012","Paton, Jonathan","Kirkpatrick, Ann","Allen, Kim",0,0,0,"D",NA,0,0
"HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE","hou2012","Paton, Jonathan","Kirkpatrick, Ann","Allen, Kim",0,0,0,"D",NA,0,0
"HOUSE/AZ02 BARBER DEMONSTRATED HIS RESILIENCE","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,1,1
"HOUSE/AZ02 BARBER EXPERIENCE AND DEEP ROOTS","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,1,1
"HOUSE/AZ02 BARBER FRAN","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,1,1
"HOUSE/AZ02 BARBER MCSALLY FALSE ATTACKS","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,1,1
"HOUSE/AZ02 BARBER WORKED HARD","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,1,1
"HOUSE/AZ02 BARBER&DCCC FALSE ATTACKS REV","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,1,1
"HOUSE/AZ02 MCSALLY BARBER FIX WASHINGTON","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,0,0
"HOUSE/AZ02 MCSALLY BARBER GONE WASHINGTON","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,0,0
"HOUSE/AZ02 MCSALLY IS NOT AFRAID OF A GOOD FIGHT","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,0,0
"HOUSE/AZ02 MCSALLY LEADS IN THEIR FOOTSTEPS","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,0,0
"HOUSE/AZ02 MCSALLY PIONEERING SPIRIT","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,0,0
"HOUSE/AZ02 MCSALLY REKINDLE","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,0,0
"HOUSE/AZ02 MCSALLY STRIPES","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,0,0
"HOUSE/AZ08 AZDP&BARBER THE RIGHT WAY","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,0,0
"HOUSE/AZ08 BARBER BROKE","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,0,0
"HOUSE/AZ08 BARBER COMMON GROUND","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,0,0
"HOUSE/AZ08 BARBER FALSE ATTACKS","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,0,0
"HOUSE/AZ08 BARBER SMALL BUSINESS","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,0,0
"HOUSE/AZ08 KELLY BARBER'S ATTACKS","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,1,1
"HOUSE/AZ08 KELLY HIGH COST OF ENERGY","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,1,1
"HOUSE/AZ08 KELLY NEXT GENERATION","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,1,1
"HOUSE/AZ08 KELLY SIGNS","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,1,1
"HOUSE/AZ08 KELLY&NRCC DISTORTING RECORD","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,1,1
"HOUSE/AZ08 MCSALLY PIONEERING SPIRIT","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,1,1
"HOUSE/AZ09 PARKER EXPOSES THE ATTACKS","hou2012","Parker, Vernon B.","Sinema, Kyrsten","Gammill, Powell E.",0,0,0,"D",NA,0,0
"HOUSE/AZ09 PARKER SINEMA PRADA SOCIALIST","hou2012","Parker, Vernon B.","Sinema, Kyrsten","Gammill, Powell E.",0,0,0,"D",NA,0,0
"HOUSE/AZ09 PARKER TOUGH UPBRINGING","hou2012","Parker, Vernon B.","Sinema, Kyrsten","Gammill, Powell E.",0,0,0,"D",NA,0,0
"HOUSE/AZ09 SINEMA MORAL OBLIGATION","hou2012","Parker, Vernon B.","Sinema, Kyrsten","Gammill, Powell E.",0,0,0,"D",NA,0,1
"HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN","hou2012","Parker, Vernon B.","Sinema, Kyrsten","Gammill, Powell E.",0,0,0,"D",NA,0,1
"HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER","hou2012","Parker, Vernon B.","Sinema, Kyrsten","Gammill, Powell E.",0,0,0,"D",NA,0,1
"HOUSE/CA03 GARAMENDI ALWAYS BEEN A LEADER","hou2012","Vann, Kim","Garamendi, John","",0,1,0,"D",NA,1,1
"HOUSE/CA03 GARAMENDI CLINTON IN THIS TOGETHER","hou2012","Vann, Kim","Garamendi, John","",0,1,0,"D",NA,1,1
"HOUSE/CA03 GARAMENDI GREW UP ON THIS RANCH","hou2012","Vann, Kim","Garamendi, John","",0,1,0,"D",NA,1,1
"HOUSE/CA03 GARAMENDI MAKE IT IN AMERICA","hou2012","Vann, Kim","Garamendi, John","",0,1,0,"D",NA,1,1
"HOUSE/CA03 GARAMENDI VETERANS","hou2012","Vann, Kim","Garamendi, John","",0,1,0,"D",NA,1,1
"HOUSE/CA03 GARAMENDI VETERANS REV","hou2012","Vann, Kim","Garamendi, John","",0,1,0,"D",NA,1,1
"HOUSE/CA03 GARAMENDI WATER","hou2012","Vann, Kim","Garamendi, John","",0,1,0,"D",NA,1,1
"HOUSE/CA03 GARAMENDI&DCCC VETERANS REV 2","hou2012","Vann, Kim","Garamendi, John","",0,1,0,"D",NA,1,1
"HOUSE/CA03 GARAMENDI&DCCC WATER","hou2012","Vann, Kim","Garamendi, John","",0,1,0,"D",NA,1,1
"HOUSE/CA03 VANN NEW DIRECTION","hou2012","Vann, Kim","Garamendi, John","",0,1,0,"D",NA,0,0
"HOUSE/CA06 MATSUI AN HONOR","hou2012","McCray, Joseph Sr.","Matsui, Doris","",0,1,0,"D",NA,1,1
"HOUSE/CA07 BERA LUNGREN IS OUT OF STEP","hou2012","Lungren, Dan","Bera, Ami","",1,0,0,"D",NA,0,1
"HOUSE/CA07 BERA MORE THAN AN OATH","hou2012","Lungren, Dan","Bera, Ami","",1,0,0,"D",NA,0,1
"HOUSE/CA07 BERA PEOPLE ARE STRUGGLING","hou2012","Lungren, Dan","Bera, Ami","",1,0,0,"D",NA,0,1
"HOUSE/CA07 BERA SUE LUTZ RAPE IS RAPE","hou2012","Lungren, Dan","Bera, Ami","",1,0,0,"D",NA,0,1
"HOUSE/CA07 BERA&DCCC IF YOU DON'T DO YOUR JOB","hou2012","Lungren, Dan","Bera, Ami","",1,0,0,"D",NA,0,1
"HOUSE/CA07 LUNGREN BERA GAS TAX","hou2012","Lungren, Dan","Bera, Ami","",1,0,0,"D",NA,1,0
"HOUSE/CA07 LUNGREN BERA TALKING ABOUT RAISING TAXES","hou2012","Lungren, Dan","Bera, Ami","",1,0,0,"D",NA,1,0
"HOUSE/CA07 LUNGREN SQUEEZE INN","hou2012","Lungren, Dan","Bera, Ami","",1,0,0,"D",NA,1,0
"HOUSE/CA07 LUNGREN&NRCC MEGAN'S LAW","hou2012","Lungren, Dan","Bera, Ami","",1,0,0,"D",NA,1,0
"HOUSE/CA09 GILL MCNERNEY DOESN'T REPRESENT THE VALLEY","hou2012","Gill, Ricky","McNerney, Jerry","",0,1,0,"D",NA,0,0
"HOUSE/CA09 GILL MCNERNEY HASN'T BEEN WORKING FOR US","hou2012","Gill, Ricky","McNerney, Jerry","",0,1,0,"D",NA,0,0
"HOUSE/CA09 GILL MCNERNEY JOBS IN DENMARK","hou2012","Gill, Ricky","McNerney, Jerry","",0,1,0,"D",NA,0,0
"HOUSE/CA09 GILL MCNERNEY THE TRUTH","hou2012","Gill, Ricky","McNerney, Jerry","",0,1,0,"D",NA,0,0
"HOUSE/CA09 GILL SAME POLITICIANS SAME RESULTS","hou2012","Gill, Ricky","McNerney, Jerry","",0,1,0,"D",NA,0,0
"HOUSE/CA09 MCNERNEY GILL NEVER HELD A FULL TIME JOB","hou2012","Gill, Ricky","McNerney, Jerry","",0,1,0,"D",NA,1,1
"HOUSE/CA09 MCNERNEY LOCAL VETERANS","hou2012","Gill, Ricky","McNerney, Jerry","",0,1,0,"D",NA,1,1
"HOUSE/CA09 MCNERNEY WHOA","hou2012","Gill, Ricky","McNerney, Jerry","",0,1,0,"D",NA,1,1
"HOUSE/CA09 MCNERNY UNFAIR TRADE","hou2012","Gill, Ricky","McNerney, Jerry","",0,1,0,"D",NA,1,1
"HOUSE/CA10 DENHAM BIOGRAPHY","hou2012","Denham, Jeff","Hernandez, Jose","",1,0,0,"R",NA,1,1
"HOUSE/CA10 DENHAM DISAGREES","hou2012","Denham, Jeff","Hernandez, Jose","",1,0,0,"R",NA,1,1
"HOUSE/CA10 DENHAM HERNANDEZ TRAIN","hou2012","Denham, Jeff","Hernandez, Jose","",1,0,0,"R",NA,1,1
"HOUSE/CA10 DENHAM SPECIAL PLACE","hou2012","Denham, Jeff","Hernandez, Jose","",1,0,0,"R",NA,1,1
"HOUSE/CA10 HERNANDEZ BELIEVE","hou2012","Denham, Jeff","Hernandez, Jose","",1,0,0,"R",NA,0,0
"HOUSE/CA10 HERNANDEZ DENHAM MOST HYPOCRITICAL MAN IN CONGRESS","hou2012","Denham, Jeff","Hernandez, Jose","",1,0,0,"R",NA,0,0
"HOUSE/CA10 HERNANDEZ FIGHTING","hou2012","Denham, Jeff","Hernandez, Jose","",1,0,0,"R",NA,0,0
"HOUSE/CA10 HERNANDEZ WHAT IS HAPPENING","hou2012","Denham, Jeff","Hernandez, Jose","",1,0,0,"R",NA,0,0
"HOUSE/CA10 HERNANDEZ&DCCC BELIEVE","hou2012","Denham, Jeff","Hernandez, Jose","",1,0,0,"R",NA,0,0
"HOUSE/CA11 FULLER MUSLIM NIGHTMARE","hou2012","Fuller, Virginia","Miller, George","",0,1,0,"D",NA,0,0
"HOUSE/CA16 COSTA ENDORSEMENTS","hou2012","Whelan, Brian Daniel","Costa, Jim","",0,1,0,"D",NA,1,1
"HOUSE/CA16 COSTA HARD WORK LEADERSHIP REV","hou2012","Whelan, Brian Daniel","Costa, Jim","",0,1,0,"D",NA,1,1
"HOUSE/CA16 COSTA LEADERSHIP REV","hou2012","Whelan, Brian Daniel","Costa, Jim","",0,1,0,"D",NA,1,1
"HOUSE/CA16 COSTA YOU CAN'T FAKE FARMING","hou2012","Whelan, Brian Daniel","Costa, Jim","",0,1,0,"D",NA,1,1
"HOUSE/CA17 LI FENDED OFF","hou2012","Li, Evelyn","Honda, Mike M.","",0,1,0,"D",NA,0,0
"HOUSE/CA20 FARR IT'S NOT JUST PRETTY SCENERY","hou2012","Taylor, Jeff","Farr, Sam","",0,1,0,"D",NA,1,1
"HOUSE/CA20 FARR PEOPLE ARE SCARED","hou2012","Taylor, Jeff","Farr, Sam","",0,1,0,"D",NA,1,1
"HOUSE/CA20 FARR PEOPLE NEED SOME HELP","hou2012","Taylor, Jeff","Farr, Sam","",0,1,0,"D",NA,1,1
"HOUSE/CA21 HERNANDEZ BIG MONEY BOYS","hou2012","Valadao, David","Hernandez, John","",0,0,0,"R",NA,0,0
"HOUSE/CA21 HERNANDEZ IN VERY HARD TIMES","hou2012","Valadao, David","Hernandez, John","",0,0,0,"R",NA,0,0
"HOUSE/CA21 HERNANDEZ IN VERY HARD TIMES REV","hou2012","Valadao, David","Hernandez, John","",0,0,0,"R",NA,0,0
"HOUSE/CA21 HERNANDEZ JOBS FIRST REV","hou2012","Valadao, David","Hernandez, John","",0,0,0,"R",NA,0,0
"HOUSE/CA21 HERNANDEZ SAFETY NET","hou2012","Valadao, David","Hernandez, John","",0,0,0,"R",NA,0,0
"HOUSE/CA21 VALADAO FARMER FAMILY LEADER","hou2012","Valadao, David","Hernandez, John","",0,0,0,"R",NA,0,1
"HOUSE/CA21 VALADAO MORE JOBS","hou2012","Valadao, David","Hernandez, John","",0,0,0,"R",NA,0,1
"HOUSE/CA21 VALADAO PRIORITIES","hou2012","Valadao, David","Hernandez, John","",0,0,0,"R",NA,0,1
"HOUSE/CA22 LEE HONORED","hou2012","Nunes, Devin","Lee, Otto","",1,0,0,"R",NA,0,0
"HOUSE/CA22 LEE HONORED REV","hou2012","Nunes, Devin","Lee, Otto","",1,0,0,"R",NA,0,0
"HOUSE/CA22 LEE SMALLER GOVERNMENT","hou2012","Nunes, Devin","Lee, Otto","",1,0,0,"R",NA,0,0
"HOUSE/CA22 LEE VISALIA TIMES-DELTA SAID","hou2012","Nunes, Devin","Lee, Otto","",1,0,0,"R",NA,0,0
"HOUSE/CA23 MCCARTHY IS A MAN OF INTEGRITY","hou2012","McCarthy, Kevin","","Phillips, Terry",1,0,0,"R",NA,1,1
"HOUSE/CA23 MCCARTHY ROBERT SUTHERLAND MEDALS","hou2012","McCarthy, Kevin","","Phillips, Terry",1,0,0,"R",NA,1,1
"HOUSE/CA24 CAPPS FRIENDS","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,1,1
"HOUSE/CA24 CAPPS MALDONADO FALSLEY ATTACKING","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,1,1
"HOUSE/CA24 CAPPS MALDONADO WILL SAY ANYTHING","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,1,1
"HOUSE/CA24 CAPPS NEWSPAPERS REPORT","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,1,1
"HOUSE/CA24 CAPPS OUR CHOICE IS CLEAR","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,1,1
"HOUSE/CA24 CAPPS SCHWARZENEGGER SAID JUMP","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,1,1
"HOUSE/CA24 CAPPS STANDS WITH MIDDLE CLASS FAMILIES","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,1,1
"HOUSE/CA24 CAPPS THOUGHTFUL AND BIPARTISAN","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,1,1
"HOUSE/CA24 CAPPS TRUST","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,1,1
"HOUSE/CA24 MALDONADO AMERICA","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,0,0
"HOUSE/CA24 MALDONADO ASK CAPPS","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,0,0
"HOUSE/CA24 MALDONADO OWN","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,0,0
"HOUSE/CA24 MALDONADO SAVE JOBS FROM CHINA","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,0,0
"HOUSE/CA24 MALDONADO SET THE RECORD STRAIGHT","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,0,0
"HOUSE/CA24 MALDONADO SMALL BUSINESS OWNER AND A MOM","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,0,0
"HOUSE/CA24 MALDONADO THERE'S A TRAIN COMING","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,0,0
"HOUSE/CA24 MALDONADO TIME FOR YOU TO DECIDE","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,0,0
"HOUSE/CA24 MALDONADO&RNC BAD IDEAS","hou2012","Maldonado, Abel","Capps, Lois","",0,1,0,"D",NA,0,0
"HOUSE/CA26 BROWNLEY STRICKLAND JUST DOESN'T GET IT","hou2012","Strickland, Tony","Brownley, Julia","",0,0,0,"D",NA,0,1
"HOUSE/CA26 BROWNLEY TROUBLING TIMES FOR WOMEN","hou2012","Strickland, Tony","Brownley, Julia","",0,0,0,"D",NA,0,1
"HOUSE/CA26 STRICKLAND JACQUELYN'S STORY","hou2012","Strickland, Tony","Brownley, Julia","",0,0,0,"D",NA,0,0
"HOUSE/CA26 STRICKLAND LIBERAL BROWNLEY","hou2012","Strickland, Tony","Brownley, Julia","",0,0,0,"D",NA,0,0
"HOUSE/CA26 STRICKLAND OUR HOME","hou2012","Strickland, Tony","Brownley, Julia","",0,0,0,"D",NA,0,0
"HOUSE/CA26 STRICKLAND PUTS VENTURA COUNTY FIRST","hou2012","Strickland, Tony","Brownley, Julia","",0,0,0,"D",NA,0,0
"HOUSE/CA26 STRICKLAND THE CHOICE","hou2012","Strickland, Tony","Brownley, Julia","",0,0,0,"D",NA,0,0
"HOUSE/CA33 BLOOMFIELD NATIONAL DEBT","hou2012","","Waxman, Henry A.","Bloomfield, Bill",0,1,0,"D",NA,0,0
"HOUSE/CA33 WAXMAN BLOOMFIELD'S RECORD","hou2012","","Waxman, Henry A.","Bloomfield, Bill",0,1,0,"D",NA,1,1
"HOUSE/CA36 BONO-MACK GAS PRICES","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,1,0
"HOUSE/CA36 BONO-MACK MY DAD","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,1,0
"HOUSE/CA36 BONO-MACK RUIZ WALKING IN THE LAND OF GIANTS","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,1,0
"HOUSE/CA36 BONO-MACK SECURITY","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,1,0
"HOUSE/CA36 BONO-MACK STOP","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,1,0
"HOUSE/CA36 BONO-MACK THANKSGIVING","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,1,0
"HOUSE/CA36 BONO-MACK UNIQUE RECORD","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,1,0
"HOUSE/CA36 RUIZ ACCURATE PICTURE","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,0,1
"HOUSE/CA36 RUIZ BETTER LIFE SP","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,0,1
"HOUSE/CA36 RUIZ BONO-MACK DIRTIEST CAMPAIGN I'VE EVER SEEN","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,0,1
"HOUSE/CA36 RUIZ BONO-MACK DIRTIEST CAMPAIGN I'VE EVER SEEN REV","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,0,1
"HOUSE/CA36 RUIZ BONO-MACK HAS CHANGED","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,0,1
"HOUSE/CA36 RUIZ DEAR MOTHER SP","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,0,1
"HOUSE/CA36 RUIZ EMERGENCY ROOM","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,0,1
"HOUSE/CA36 RUIZ IT TAKES SOME BRASS","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,0,1
"HOUSE/CA36 RUIZ PATIENTS","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,0,1
"HOUSE/CA36 RUIZ PROTECTING NATIVE AMERICAN","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,0,1
"HOUSE/CA36 RUIZ WHAT'S HAPPENED TO BONO-MACK","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,0,1
"HOUSE/CA36 RUIZ WHO'S SIDE","hou2012","BonoMack, Mary","Ruiz, Raul","",1,0,0,"D",NA,0,1
"HOUSE/CA38 CAMPOS CERTAINTY CLARITY AND STABILITY 60","hou2012","Campos, Benjamin","Sanchez, Linda T.","",0,1,0,"D",NA,0,0
"HOUSE/CA52 BILBRAY BRIANA TERMINAL CANCER","hou2012","Bilbray, Brian P.","Peters, Scott","",1,0,0,"D",NA,1,0
"HOUSE/CA52 BILBRAY SURFED THESE WATERS","hou2012","Bilbray, Brian P.","Peters, Scott","",1,0,0,"D",NA,1,0
"HOUSE/CA52 BILBRAY WHISTLEBLOWER EXPOSED PETERS","hou2012","Bilbray, Brian P.","Peters, Scott","",1,0,0,"D",NA,1,0
"HOUSE/CA52 BILBRAY&RNC PETERS CUT MEDICARE","hou2012","Bilbray, Brian P.","Peters, Scott","",1,0,0,"D",NA,1,0
"HOUSE/CA52 PETERS BILBRAY AFTER TWENTY YEARS","hou2012","Bilbray, Brian P.","Peters, Scott","",1,0,0,"D",NA,0,1
"HOUSE/CA52 PETERS JOELLE","hou2012","Bilbray, Brian P.","Peters, Scott","",1,0,0,"D",NA,0,1
"HOUSE/CA52 PETERS KIDS","hou2012","Bilbray, Brian P.","Peters, Scott","",1,0,0,"D",NA,0,1
"HOUSE/CA52 PETERS&DCCC ANOTHER DAY","hou2012","Bilbray, Brian P.","Peters, Scott","",1,0,0,"D",NA,0,1
"HOUSE/CO03 PACE AMERICAN STEEL","hou2012","Tipton, Scott","Pace, Sal","Casida, Tisha",1,0,0,"R",NA,0,0
"HOUSE/CO03 PACE NEARBY","hou2012","Tipton, Scott","Pace, Sal","Casida, Tisha",1,0,0,"R",NA,0,0
"HOUSE/CO03 PACE REGULAR DAY","hou2012","Tipton, Scott","Pace, Sal","Casida, Tisha",1,0,0,"R",NA,0,0
"HOUSE/CO03 PACE SCORCHED EARTH","hou2012","Tipton, Scott","Pace, Sal","Casida, Tisha",1,0,0,"R",NA,0,0
"HOUSE/CO03 PACE&DCCC NEARBY","hou2012","Tipton, Scott","Pace, Sal","Casida, Tisha",1,0,0,"R",NA,0,0
"HOUSE/CO03 TIPTON MEDICARE PROMISE","hou2012","Tipton, Scott","Pace, Sal","Casida, Tisha",1,0,0,"R",NA,1,1
"HOUSE/CO03 TIPTON PACE HURTING SENIORS","hou2012","Tipton, Scott","Pace, Sal","Casida, Tisha",1,0,0,"R",NA,1,1
"HOUSE/CO03 TIPTON PACE LOVES TAXES","hou2012","Tipton, Scott","Pace, Sal","Casida, Tisha",1,0,0,"R",NA,1,1
"HOUSE/CO03 TIPTON PACE TAX RAISER","hou2012","Tipton, Scott","Pace, Sal","Casida, Tisha",1,0,0,"R",NA,1,1
"HOUSE/CO03 TIPTON PACE WE KNOW","hou2012","Tipton, Scott","Pace, Sal","Casida, Tisha",1,0,0,"R",NA,1,1
"HOUSE/CO03 TIPTON&NRCC MEDICARE PROMISE","hou2012","Tipton, Scott","Pace, Sal","Casida, Tisha",1,0,0,"R",NA,1,1
"HOUSE/CO05 ANDERSON LEGITIMATE RAPE","hou2012","Lamborn, Doug","","Anderson, Dave",1,0,0,"R",NA,0,0
"HOUSE/CO06 COFFMAN KATIE'S LAW","hou2012","Coffman, Mike","Miklosi, Joe","Polhemus, Kathy",1,0,0,"R",NA,1,1
"HOUSE/CO06 COFFMAN MIDDLE CLASS","hou2012","Coffman, Mike","Miklosi, Joe","Polhemus, Kathy",1,0,0,"R",NA,1,1
"HOUSE/CO06 COFFMAN MIKLOSI'S NEGATIVE CAMPAIGN","hou2012","Coffman, Mike","Miklosi, Joe","Polhemus, Kathy",1,0,0,"R",NA,1,1
"HOUSE/CO06 COFFMAN PARENTS","hou2012","Coffman, Mike","Miklosi, Joe","Polhemus, Kathy",1,0,0,"R",NA,1,1
"HOUSE/CO06 COFFMAN SERVICE ABOVE SELF","hou2012","Coffman, Mike","Miklosi, Joe","Polhemus, Kathy",1,0,0,"R",NA,1,1
"HOUSE/CO06 COFFMAN THE ONLY WAY TO STOP A SERIAL PREDATOR","hou2012","Coffman, Mike","Miklosi, Joe","Polhemus, Kathy",1,0,0,"R",NA,1,1
"HOUSE/CO06 MIKLOSI THINK YOU KNOW","hou2012","Coffman, Mike","Miklosi, Joe","Polhemus, Kathy",1,0,0,"R",NA,0,0
"HOUSE/CO06 MIKLOSI WHEN","hou2012","Coffman, Mike","Miklosi, Joe","Polhemus, Kathy",1,0,0,"R",NA,0,0
"HOUSE/CO06 MIKLOSI&DCCC STEAMROLLING","hou2012","Coffman, Mike","Miklosi, Joe","Polhemus, Kathy",1,0,0,"R",NA,0,0
"HOUSE/CO07 COORS CAR","hou2012","Coors, Joe","Perlmutter, Ed","Campbell, Douglas",0,1,0,"D",NA,0,0
"HOUSE/CO07 COORS PERLMUTTER EXTREME","hou2012","Coors, Joe","Perlmutter, Ed","Campbell, Douglas",0,1,0,"D",NA,0,0
"HOUSE/CO07 COORS PERLMUTTER WORK THE SYSTEM","hou2012","Coors, Joe","Perlmutter, Ed","Campbell, Douglas",0,1,0,"D",NA,0,0
"HOUSE/CO07 COORS PERLMUTTER WORK THE SYSTEM AGAIN","hou2012","Coors, Joe","Perlmutter, Ed","Campbell, Douglas",0,1,0,"D",NA,0,0
